State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
NY	2004		0	0	0	2	0	0	0	2	0	5	1
NY	2005	2	2	0	0	2	16	2	0	3	2	1	0
NY	2006	2	0			7	1	3	2	0		1	1
NY	2007	0	0	2	0	2	1	0	0	1	0	1	0
NY	2008	1		0	1		2	0	4	0	0		0
NY	2009	0	0	0	0	0	0	0	0	0	0	1	0
NY	2010	0	0	1	3	2	1	0	8	8	1	1	0
NY	2011	0	0	0	0								
OH	1979								0				
OH	1982	0	2	3	4	9	3	0	0	2	3	0	0
OH	1983	2	4	2	5	0	2	3	4	0	5	1	0
OH	1984	0	3	1	3	0	5	1	5	3	1	1	1
OH	1985	0	0	1	4	3	4	6	1	0	0	2	1
OH	1986	0	0	1	1	2	4	1	4	1	1	3	0
OH	1987	1	0	2	3	1	6	3	0	4	2	0	0
OH	1988	0	1	3	2	2	0	4	6	2	1	0	0
OH	1989	3	2	0	0	0	5	0	3	1	2	0	2
OH	1990	0	0	0		4	3	3	1	0	0	1	2
OH	1991	3	2	1	0	0	0	6	5	3	0	2	1
OH	1992	0	0	1	4	2	2	2	2	0	2	0	0
OH	1993	0	3	3	2	0	1	0	1	2	2	0	0
OH	1994	2	0	1	0	0	5	3	1	0	1	1	1
OH	1995	0	0	1	3	0	1	1	3	2	1	0	1
OH	1996	0	0	0	3	3	5	1	1	0	0	0	1
OH	1997		1	4	1	1	2	4	2	2	0	0	1
OH	1998		1	1	0	1		0	2	2	0	2	0
OH	1999	0	0	0		3	2	0	1	0	1	0	0
OH	2000		1	0	4	0	1	2	3	1	3	3	
OH	2001	0	0	0	2	0	0	3	0	0	0	0	0
OH	2002	0	0	2	0	0	2	9	0	2	1	0	0
OH	2003	3	0	0	0	1	2	3	2	0	3	0	0
OH	2004	0	0		1	2	0	2	1	0	2	0	1
OH	2005	0	0	1	3	0	3	2	1	1	0	0	0
OH	2006		0		0	0	0	1	0	0	0	1	1
OH	2007	0	0	2	3	1	1	2	0	3	0	0	0
OH	2008	0	0	2	1	0	0	1	0	4	0	0	0
OH	2009		0	0	0	0	2	0	1	0	0	0	
OH	2010	0	1	1	1	0	1	0	2	4	0		2
OH	2011	3		0	0								
OK	1982	0	0	1	0	3	6	3	0	2	1	2	0
OK	1983	0	1	1	1	0	1	2	1	1	0	0	4
OK	1984	0	0	0	0	5	0	1	3	2	2	0	1
OK	1985	0	4	4	0	0	2	2	5		2	0	0
OK	1986	0	0	0		0	0	1	6	7		0	1
OK	1987	0	1	1	1	1	1	1	1	0	2	0	0
OK	1988	0	0		0	8	4	2	1	0	0	0	0
OK	1989	0	0	2	0	1	4	0	0	1	1	0	0
OK	1990	0	1	1	2		1	0	7	1	0		0
OK	1991	0	0	1	0	0		0	4	1	0	0	0
OK	1992	0	5	2	0	0	0	3		2	0	1	0
OK	1993		1	0	0	2	0	0	0		0	0	0
OK	1994	2		0	1	0	0	0	1	1	0	2	2
OK	1995	0	0	3	0	0	1	2	0	0	1	0	1
OK	1996	0	0	1	1	1	0	1	1		0	0	0
OK	1997	1	0	0	3	0	2	2	0	0	0	0	
OK	1998	0	0	6	0	9	0	5	1	0	0	3	4
OK	1999	0		1	0	0	1	0	0	3	2	1	1
OK	2000	4	0	0	3	0	1	0	0	0	0	2	0
OK	2001	0	1	2		4	1	0	1		1	0	0
OK	2002	0	0	1	1	3	0	4	0	1	1	0	0
OK	2003	0	0	0	0	1	2		0	2	0	0	0
OK	2004		1		2	1	3	0	0		0	2	1
OK	2005	3	2	0	1	0	2	0	0	0		0	2
OK	2006	1		0	0	2	1	0		0	0	1	1
OK	2007	0	0	3	2	0	1	2	1	0	0	0	0
OK	2008	0	0	0	0	2	4	0	0	2		0	
OK	2009	1	0	2	2	3	0	0	1	2	0	0	0
OK	2010		0	4	1	1	0	0	0	2		0	0
OK	2011		0		0								
OR	1982	0	1	2	0	6	2	2	0	8	2	0	2
OR	1983	1	2		1	1	5	1	1	0	0	5	0
OR	1984	1	0	1	0	0	1	7	2	0	1	4	2
OR	1985	1	2	1	0	5	0	2	0	0	2	0	0
OR	1986	2	0	1	0	0	0	1	5	0	2	2	4
OR	1987		0	0	6	1	6	0	2	1	0	0	0
OR	1988		1	5	2	6	0	2	3	4	0	0	1
OR	1989		0	1	1	0	3	3	1	2	0	0	0
OR	1990		2	3	0	0	1	3	4	4	0	0	1
OR	1991	0	0	0	1	3	2	5	2	2	1	0	0
OR	1992	0	1	1	3	6	5	2	1	0	6	0	0
OR	1993	0	4	0	1	5	2	3	0	3	0	1	0
OR	1994	3	1	0	2	1	1	0	3	0	1	0	
OR	1995	0	0	1	0	1	0	1	0	1	0	1	0
OR	1996	0	4	2	1	2	3	4	2	2	4	0	1
OR	1997	2	1	2	2	1	1	3	1	2	0	9	0
OR	1998	0	1	1	0		1	5	1	2	0	0	
OR	1999	0	0	1	1	0	0	2	0	1	0	1	1
OR	2000	0		0	1	0	2	2	6	2	2	3	0
OR	2001	0	0	0	0	4	0	0	1	3	1	0	0
OR	2002	0	1		0	1	1	0	2	0	0	0	0
OR	2003	0	0	0	1	1	0	2	4	1	0	0	0
OR	2004	0	1	4	1	0	1	1	3	2	0	1	0
OR	2005	0	1	3	2	1	0	0	0	2	0	0	2
OR	2006	0	2	1	0	1	0	0	7	0	2	0	0
OR	2007	1	0	0	0	2	0	1	1	3	2	0	
OR	2008	1	0	0	0	2	5	1	1	0	0	0	
OR	2009				1	0	0	2	5	3	1	0	
OR	2010	0	1	1	0	0	0	3	1	0	0	0	0
OR	2011	0	1	0									
PA	1982	0	0	0	3	0	6	2	0	1	0	2	0
PA	1983	1	0	2	2	1	3	1	0	1	3	2	1
PA	1984	0	1	1	1	0	0	3	2	10	3	1	0
PA	1985	0	1	1	1	4	0	2	10	4	0	3	0
PA	1986	0	8	3	1	3	3	0	3	0	1	2	0
PA	1987	1	1	0	1	1	0	0	2	7	3	1	0
PA	1988	0	0	0	1	2	0	0	3	0	4	4	0
PA	1989	0	2	2	3	0	3	0	5	1	1	0	0
PA	1990	3	0	2	5	0	2	5	2	4	1	3	0
PA	1991	0	0	1	8	3	5	5	0	6	4	0	0
PA	1992		0	2	1	4	1	1	1	0	2	0	1
PA	1993	0	0	0	8	2	0	4	3	0	1	2	0
PA	1994	0	0	0	1	1	4	0	1	1	4	3	2
PA	1995	1		0	2	1	0	3	0	0	0	0	0
PA	1996	1	9	0		3	0	3	3	0	0	1	0
PA	1997	2	0	1	3	4	4	3	6	0	4	0	5
PA	1998	2	0	1	3	7	0	2	13	0	0	0	0
PA	1999	0	2	1	0	1	1	0	2	0	0	5	1
PA	2000	0		6	0	2	4	3	3	2	2	2	0
PA	2001		0		4	2	1	0	1	1	4	1	
PA	2002	0		0	0	0	7	0	0	1	0		0
PA	2003		0	0	0	1	1	1	1	0		0	0
PA	2004	0	0	0	0	0	0	0	0	0	2	0	1
PA	2005		0	0	0	0	0	1	2	1	1	0	0
PA	2006	1	3	0	0	0	0	3	2	0	0	0	0
PA	2007	3	0	1		4	4	1	0	4	0	0	0
PA	2008			0	0	3	2	1	0	3	0	3	1
PA	2009	0			0	0	0	3	0	3	1	0	
PA	2010	0	3	0	0	2	0	0	0			0	
PA	2011	0	0	0	0								
PO	2002					6							
PO	2006						0						
PO	2009				0								
PO	2010									1			
PR	1984		1										
PR	1999							0					
PR	2001		0		0	0	0	0				2	2
PR	2002	2			2	1	0				0		0
PR	2003			1					0	6			
PR	2004		0			19				0	1		
PR	2005		5	0	0			0	1				
PR	2006	1		2			1		0	0			
PR	2007	0		0	2	1		0					
PR	2008						0		0			1	0
PR	2009		0		0	4		0				1	0
PR	2010		1	0	0			0	4		0	0	
PR	2011				0								
RI	1982		1	0			0						
RI	1983				0		1	0	0		0		
RI	1984				0	0			1	0	0	0	
RI	1985			0				0		0	1	0	
RI	1986				0			2					0
RI	1987	0		0			1	0	0	2			
RI	1988	3	1	0			0	1		0		0	0
RI	1989	5						0	0			0	
RI	1990	2		0			0				0		0
RI	1991					0	0		1	0			0
RI	1992	0								0			
RI	1993				0	0			0	0		0	
RI	1994						0	0	1	1		0	
RI	1995						0		0				0
RI	1996						0	3	0			0	
RI	1997						1		2	0			
RI	1998					0							
RI	1999								1	0			
RI	2000		11		2				0	0			
RI	2001		1		0		1						
RI	2002		0					0		0	3		
RI	2003			2	0			4	0			2	
RI	2004					1					0		0
RI	2005										0		
RI	2006							0	0			0	
RI	2007							0	0				0
RI	2008					3	2	0	1	0		0	
RI	2009							0					
RI	2010						0						
SC	1982	0	0	1	0	0	1	0	2	0	0	0	4
SC	1983	1	0		0	0	1	1	2	0	0	20	0
SC	1984	0	0	8	0	0	3	2	2	0	0	1	0
SC	1985		5	1	0	0	0	0	7	6	0	0	0
SC	1986	1	0	0	3	0	0	1	0			0	
SC	1987	1	0	2	0	2	0	1	1	0	1	0	0
SC	1988	1	0	1	1	1	0	1	11	1	1	0	
SC	1989	0		1	2	0	0	0	0	0	0	1	
SC	1990	0		2	0	0	3	0	0	0	1	0	0
SC	1991	0		0	1	0	0	0	0	1	0		1
SC	1992	0	0	3	0	1	0	1	3	0	0	0	1
SC	1993		0	0	0	1	1	3	2	0		1	4
SC	1994	0	0	1	1	0	0	1	0	0	1	1	1
SC	1995	0	0	2	1	1	1	4	0	0		0	2
SC	1996	1	0	0	1		1	0	0	1	0	0	0
SC	1997	1	1	2	1	0	1	0	5	0		0	0
SC	1998	0	1	0	0	1	2	1	1	0	0	1	
SC	1999	0	0	0	0	3	8		2		0	1	2
SC	2000	0		0	0	1		17	1	0	1	0	0
SC	2001		0		1	0	0	0	0		0	0	0
SC	2002	0	1	0	0	2	0	0	1	0		0	0
SC	2003	2	0	1	0	0	1		0	1	0	0	0
SC	2004	0	1		0	3		2		0	0	0	0
SC	2005	0	0	0	0	0	0	1	2		1	2	0
SC	2006	0	0	1	0	1		0	0	2	0		0
SC	2007	0		0		2	0	0	0	3	0		0
SC	2008	2		0		1	0	2	2	0	2		2
SC	2009	0	0	0	2	0	0	0	0	0	0	0	0
SC	2010			0	0	0	2	0	0	0	1	1	
SC	2011	0	0	0									
SD	1982		0		0	0	0		0	0	0	0	
SD	1983	0	2				1	0	5	0	0	1	2
SD	1984	0			0	1	0	0	0	0	0	1	
SD	1985		0	0		2		0	1	0	0	0	
SD	1986		0		1	2	2	0	0			0	
SD	1987		1		1	0		0	0		0	0	0
SD	1988				0		0	1	0	0			
SD	1989			0	0	0		0		1	0		
SD	1990	0	3	0	0	0	1	0	0	0			
SD	1991			0	0	0	1	1	2	0			
SD	1992	0		1	0	0	0		6				0
SD	1993				0		2	1	0		0	0	0
SD	1994	0		0	0	0	0		0		0		
SD	1995	0				0	0	3	6	0	0	0	1
SD	1996			0		0	1	2	1		0	0	
SD	1997		0		1	0	0		1	0	2		0
SD	1998			1	0	2	0	1	0				
SD	1999		0				1	0	1	1	1		2
SD	2000			0	0	0		0	0	0	0	1	0
SD	2001	0	0				0	0	0	0			
SD	2002					0	0	1		0		0	0
SD	2003				0	0	1	0	1	0			0
SD	2004	0		0			1	0		0		0	3
SD	2005					2		0	0	0	0		0
SD	2006	0	0						0	0			1
SD	2007	0			0	0		3			0		
SD	2008				0				2	0	1		0
SD	2009			1		0	4	0	0	0			
SD	2010					0	0	1		0		1	
SD	2011			0									
TN	1982		1	0	1	0	1	0	0	0	6	0	0
TN	1983	0	0	1	0	4	0	4	1	1	19	0	0
TN	1984	0	0	0	2	0	4	1	1	4	0	4	0
TN	1985	0	1	5	3	0	0	1	1	4	2	8	0
TN	1986	0	2	1	1	1	3		0	0	1	1	0
TN	1987	0	1	0	0	0	1	1	0	0	0	0	1
TN	1988		18	0	2	0	0	2	1	1	0	0	0
TN	1989	0	0	2	0	0	24	1	1	2	0	0	0
TN	1990	0	0	2	0		0	1	1	0	0	2	1
TN	1991	0	0	0	0	11	0	1	2	3	0	0	
TN	1992	0	0	3	0	0		0	0	2	0	1	1
TN	1993	0	0	0	2	0	0	0	2	0	1	0	0
TN	1994	0	0	3	3	0	0	0	0	0	0	0	1
TN	1995	1	1	3	1	1	0	1	1	0	0	4	0
TN	1996	7	1	1	1	1	0	8	1		1	0	0
TN	1997	0	1	0	1	0	7	1	1	0	0	0	0
TN	1998	0	2	0	0				1	0	0	2	0
TN	1999	0		0	1	5	3	0	3	3	1		0
TN	2000	0	0	1	0	0	0	0	0		1		2
TN	2001	0		0	0	0	0	0	2	0	1	0	0
TN	2002		0		0		0	2	2	0	1	0	2
TN	2003	0	5	0	0	1	0	1	2	2	0	0	2
TN	2004		0	1	2	0	0	0	2	0	0	0	0
TN	2005	1		1		0	3	0	0	2	0		0
TN	2006	0	0		0	1	1	0		0	1	0	0
TN	2007			3	0	2	2		0	4	1	0	
TN	2008		0	0	0	4		1	1	0	0	0	1
TN	2009	0	1		0	1	0	2	0	0	6	0	
TN	2010	1	0	0		2	2	1	1	0		0	
TN	2011		0	0									
TX	1982	3	0	6	12	4	7	11	7	8	2	6	2
TX	1983	2	2	6	5	2	9	6	6	4	7	4	1
TX	1984	2	18	12	1	11	5	4	7	10	6	6	7
TX	1985	3	2	8	2	4	7	10	21	6	9	6	6
TX	1986	6	3	9	3	11	5	4	3	5	6	7	3
TX	1987	1	6	4	6	1	5	8	10	4	5	1	0
TX	1988	11	5	6	3	14	10	0	53	6	5	3	5
TX	1989	1	15	8	3	3	3	10	2	5	7	10	0
TX	1990	3	5	3	2	0	3	10	11	4	2	2	1
TX	1991	1	6	2	4	2	4	6	6	4	1	2	2
TX	1992	2	1	1	4	2	2	2	5	1	5	4	5
TX	1993	8	2	5	46	2	3	8	5	1	3	5	1
TX	1994	0	2	1	3	3	5	1	16	4	7	1	4
TX	1995	6	5	2	12	3	3	4	6	9	8	5	1
TX	1996	1	16	3	3	7	16	2	5	12	3	4	2
TX	1997	6	3	2	2	3	1	5	3	1	2	7	3
TX	1998	4	5	1	5	2	3	5	3	3	9	1	9
TX	1999	8	4	1	0	8	3	7	8	1	5	1	1
TX	2000	0	3	7	8	2	5	10	7	5	2	1	4
TX	2001	0	4	13	4	5	1	2	2	1	7	1	1
TX	2002	0	3	3	4	3	2	5	4	2	4	1	0
TX	2003	2	3	4	4	8	8	7	5	12	6	4	1
TX	2004	0	5	4	5	8	2	6	5	2	9	1	3
TX	2005	1	0	5	3	4	4	2	1	16	4	1	0
TX	2006	0	1	0	2	7	3	4	2	1	2	0	0
TX	2007	1	3	3	0	5	2	1	2	2	3	1	1
TX	2008	0	1	1	7	3	1	3	1	2	1	0	0
TX	2009	1	1	3	4	4	6	3	2	4	2	0	2
TX	2010	0	0	7	5	3	6	4	0	2	2	1	3
TX	2011	2	1	2	0								
UN	2002									0			
UN	2005								0				
UN	2006								0				
UN	2007						0						
UT	1982	3	2	0	2	0	1	0	0	2	0	2	0
UT	1983	0	0	0	0	4	0	3	0	2	3	0	1
UT	1984	3	0	0	0	0	1	4	2	1	0	4	0
UT	1985	3	1	0	2	0	1	0	1	0	0	0	0
UT	1986	2		1	1	0	1	2	0	0	1	0	1
UT	1987	0	0	1	3	1	0	0	1	1	0	0	0
UT	1988	0	0	0	0	0	2	0	0	0	2	0	0
UT	1989	0	0	1	0	0	1	0	1	0	5	2	
UT	1990	0	0	0	1	1	0	0		1		0	3
UT	1991	1	1	0	0	0	4	1	0	0	2	0	
UT	1992	0	0		0	0	1	1	5	0	0	1	0
UT	1993	0	2	0		2	0	0	0	6	0	1	0
UT	1994	1	2	0	0	0	0	0	0	0	4		0
UT	1995	0	0	0	0	0	0	1	1	4	0	0	
UT	1996	0	2	0	1	0	4	2	0	0	0	0	
UT	1997		0	0	0	2	7	0	1	1	0	0	1
UT	1998	1	0	4	0	3	0	0	0	1	2		0
UT	1999	0	0	2	1	0	0	0	0	0	0	0	0
UT	2000	0	0	2	1	3	2	3	0	0	1	1	0
UT	2001	1	0	0	1	0	0	4	0	0	0	4	0
UT	2002	1	4	0	0	2	3	1	0	0	0	1	2
UT	2003	0	0	2	0	1	7	1	0	0	0		0
UT	2004	0	0	2	2	1	3	1	1	3	2	0	2
UT	2005	0	0			3	0	6	2	1	0	0	0
UT	2006	0		0	1	1	8	0	0	1	0	0	2
UT	2007	0	3	2	2	1	4	2	0	0	4	0	0
UT	2008	0	0	1	3	0	4	2	0	1	0	0	
UT	2009	1	1	0	0	0	0	0	1	6	0	1	0
UT	2010		0		1	0	1	1	1		0	0	0
UT	2011	0	0	0	2								
VA	1974								0				
VA	1982	0	0		0	2	3	0	2	0	0	0	0
VA	1983	5	5	4	1	0	4	2	1	1	2	1	1
VA	1984	1	1	0	0	2	1	0	0	1	0	1	0
VA	1985	0	2	1	2	2	2	0	2	4	0	0	
VA	1986	1	1	1	0	0	2	0	1	3	2	1	4
VA	1987	0	0	0	1	0	0	2	3	3	3	0	1
VA	1988	1	3	0	0	2	0	1	0	0	1	0	
VA	1989	0		0	0	3	0	0	0	1	2	2	0
VA	1990	0	1	0	1	1	0	0	1	6	0	3	1
VA	1991	0	1	2	0	2	0	4	1	0	2	0	0
VA	1992	0	1	0	0	0	1	0	0	0	0	1	0
VA	1993		0		3	3	1	1	1	1	0	0	0
VA	1994	0	0	0	0	2	0	4	4	0	0	0	
VA	1995			0	2	1	1	0	0	1	2	1	0
VA	1996	0	0	1	6	1	0		0		0	8	3
VA	1997	0		0	0	0	2	0	2	1	0		3
VA	1998		0	3	0	0	1	1	0		2	2	0
VA	1999	1	0	0	0	0	0	0	0	0	0	0	1
VA	2000		0	0	1	3	2	0	0	0	1	1	1
VA	2001	0	0	2	6	0	0	1	0	0	2	0	1
VA	2002	0	0	2	0	0	3	1	1	1	1	2	0
VA	2003	0		0	1	0	0	0	0	0	0	0	
VA	2004		0	0	0		0	1	0	0	0	0	0
VA	2005			0	3	0	0	0		0	2	0	
VA	2006	0	0		0	1	1	1	0	0	0	1	0
VA	2007	0	0	0	0	1	0	3	1	2	2	1	0
VA	2008	1	0	0	0	0	2	1	1	0	0	0	0
VA	2009			2	0	0	0	2	2	1	3	1	1
VA	2010			0	0	0	1	1	1	2		0	0
VA	2011			0	0								
VI	2003												0
VI	2004							0		0			
VI	2006				7			1					
VI	2007										0		
VI	2008						0						
VI	2009										0		
VI	2010	0											0
VI	2011	0											
VT	1982	0			0		0	0	0	0		0	
VT	1983						2	0	2	0	0	1	0
VT	1984			1		0	0		0			0	0
VT	1985			0	0	3	0	0	0	1	1		
VT	1986	0	2				1	4	2		0		1
VT	1987	0	0	0				0	0	2	0	0	0
VT	1988	1	0	1		0		1	0		1		
VT	1989		0			4		0	0	0	0		
VT	1990	0						1		0			
VT	1991	0				0		0		0	1		
VT	1992					4		1					
VT	1993	0	0				0	0	0	2		2	
VT	1994	0					0		1		2		
VT	1995		0	0		0	0	1	0	0	0	0	
VT	1996				0			0					
VT	1997						2			0	0		
VT	1998		0				1			0	2		0
VT	1999					0			0	0	0		
VT	2000	0	0				0		1		0		
VT	2001						0			0	0		
VT	2002	0		0			1	0					
VT	2003				1		0						
VT	2004		0			0	2						
VT	2005						0	0			0	0	
VT	2006							0	0	0			0
VT	2007						0	0	0			0	
VT	2008						1						
VT	2009						0			0	0		
VT	2010				0				2		0		
VT	2011		1										
WA	1982	2	0	2	1	1	4	7	2	4	0	2	0
WA	1983	3	3	1	2	3	2	6	2	7	0	0	0
WA	1984	0	0	0	2	0	1	3	3	0	0	1	5
WA	1985	0	1	0	0	1	0	0	4	0	3	1	0
WA	1986	3	1	5	2	4	1	5	12	4	0	3	0
WA	1987	2	0	0	4	3	3	3	4	2	1	2	0
WA	1988	0	1	3	27	4	14	1	1	2	4	0	0
WA	1989	1	0	0	0	2	2	2	1	5	0	2	0
WA	1990	0	0	1	1	1	2	9	4	0	1	4	1
WA	1991	0	0	2	3	2	4	6	1	3	5	9	2
WA	1992	1	2	3	1	2	3	2	1	5	0	1	0
WA	1993	0	0	1	4	4	2	2	2	1	1	2	0
WA	1994	2	1	2	2	1	4	5	1	4	0	0	0
WA	1995	2	0	1	5	6	2	1	5	4	0	1	0
WA	1996	1	1	3	0	1	6	2	2	0	0	0	0
WA	1997	3	1	0	5	3	0	4	2	21	0	1	1
WA	1998		0	2	1	2	0	2	2	0	0	3	1
WA	1999	1	1	1	1	1	5	3	3	1	5	2	1
WA	2000	1	1	2	6	1	2	0	0	4	2	0	1
WA	2001	0	2	2	4	0	3	0	3	2	0	0	
WA	2002	2	1	4	0	1	1	0	7	3	0	0	1
WA	2003	1	0	0	3	0	0	3	0	0	4	0	0
WA	2004	0	0	1	2	2	0	4	5	6	0	0	2
WA	2005	0	0	1	0	0	2	2	0	0	4	0	1
WA	2006	0	0	0	0	4	1	1	0	1	3	0	0
WA	2007	0	1	0	0	0	1	4	4	2	0	3	0
WA	2008	1	0	1	2	3	1	1	2	0	0	2	0
WA	2009		1	0	5	4	1	4	1	0	0	0	0
WA	2010	0	0	0	1	0	0	2	8	0	3	0	0
WA	2011	0	2	1	0								
WI	1982	0	1	1	0	1	3	3	2	0	0	3	0
WI	1983	2	0	0	2	0	0	0	3	0	5	0	0
WI	1984	0	0	2	5	5	4	0	8	1	0	3	2
WI	1985		0	0	2	1	1	4	0	0	2	0	0
WI	1986	0	0	0	1	0	1	3	3	0	0	0	4
WI	1987	1	0	0	0	2	4	0	0	0	2	0	1
WI	1988	1	0	0		2	1	3	5	2	0	0	0
WI	1989	0	0	0	0	3	0	7	3	0	1	0	1
WI	1990	0		0	3	0	2	1	1	3	2	0	0
WI	1991	0	2	0	1	2	0	2	4	1	0		0
WI	1992	0	0	0	4	0	1	3	3	2	3	0	2
WI	1993	3	0	1	2	1	1	3	1	0	1	1	0
WI	1994		2	0	1	6	2	3	3	3	0	3	
WI	1995	1	0	0	1	2	17	1	4	2	2	2	1
WI	1996	0		0	0	0	1	2	0	0	1		2
WI	1997		0	0	1	0		2	4		0	0	0
WI	1998	1		1	0	1	3	3	0	5	0	1	0
WI	1999	0	0	0	1	2	8	7	4	2	0		0
WI	2000	1	0	0		3	0	0	0	1	1	0	0
WI	2001	0	0		4	0	1	3	3	1	0	0	1
WI	2002	0	0	1	1	2	2	1	3	1	0	0	
WI	2003	3		0		1	1	0	2	0	0	2	0
WI	2004		3	0	0	0	0	2	2	0	0	0	0
WI	2005	1	1	0	0	2	0	4	1	1	0	1	1
WI	2006	0	2		0	1	2	0	3	0		0	0
WI	2007	2	0	1	5	0	2	1	0	0	0		0
WI	2008		0	0	1	2	2	7	4	1		0	0
WI	2009	0			0	1	3	2	1	0		0	
WI	2010	2	1	0	0	0	0	0	0	2		6	0
WI	2011		0	0									
WV	1982	0		1	1	0	0	0	0	0		0	0
WV	1983				0		2	1	2	0	0	0	
WV	1984	0	0	0		0	0	0	0	1	0	0	0
WV	1985	2		1	0	0	0	0	0	1	0	1	
WV	1986					0		0		0		0	
WV	1987		0	0		2	1	1	0	0			
WV	1988	1	2	0	8	1	2	0	1			0	2
WV	1989	3		0	0		0	1	3				0
WV	1990		0	0	0	1	2		2	0	0		0
WV	1991	3		0		0	2	1	0	0	0	0	0
WV	1992		0	0	0		1	2	1	0	0	0	
WV	1993		0	1		0			3	0		0	
WV	1994			0	0	2	0		0	1			1
WV	1995			0		0			1		0	0	
WV	1996	0		1	0	0	0	1	0	0		0	0
WV	1997	0		0		0	0		0	0	0	1	1
WV	1998		0		0	0		1		0	0		
WV	1999				2	0	0	0				3	
WV	2000			0				0	0				0
WV	2001	2		1	1		2		0		0		0
WV	2002		0			1		0	0		3		
WV	2003	0	1			2	4	0			0	2	
WV	2004		0				0	1	0	0		0	1
WV	2005		2	1				0	0	0	0		
WV	2006	0		0			0	1			0		0
WV	2007				0	0			1	1	0	0	
WV	2008			0		2							
WV	2009	0				2	0	0		2		0	
WV	2010	0			1	0	0			6	2		
WV	2011		0										
WY	1982	1	0	3	1	0	2	22	1	0	0	0	0
WY	1983	0	0	0	0	3	5	0	2	0	1	0	0
WY	1984	0	0	2	0	1	1	1	0	5	0		2
WY	1985	3	0	0	1		1	0	0	0		0	
WY	1986		1	1	0	0	3	0	1	0	0	0	0
WY	1987		0		1	0	0	0	0	0			0
WY	1988	0	0		0	0	0	3	2	0	0	0	0
WY	1989	0		0	0	0	0	1	1	0	0	1	
WY	1990			0			0	8	4	0	0	0	0
WY	1991	0				1	1	5	2	0	0		1
WY	1992		0		0		2	0		0	0	0	1
WY	1993	1		2	0	0	1	1	4	0	2	0	1
WY	1994		0	0	1	4	1	0	2	0	0	0	2
WY	1995	0		1	2	1	0	4	0	0	0		
WY	1996		0	0	1		0	0	0	1	0		0
WY	1997		0	0	0		0	0	0	0			0
WY	1998	0	0	0	1	0	0	2	0	0	2		
WY	1999		0	0		1	1	2	0			0	0
WY	2000	0		0	0	0		0	1	1	0		0
WY	2001		0	0	0			1	0	0	0	0	
WY	2002		0		0	0	1	0	0	0	0		
WY	2003	0			0	0	1	0	0	1	0	0	
WY	2004		1			0		1	4	0	0		
WY	2005	0	0	0			0	0	0	1	0	0	
WY	2006		0			0	2	0	0	0			0
WY	2007	0			0		1	0	0		2	0	
WY	2008	0	1		1		0	1	0	0	1	0	0
WY	2009			0	2			1					
WY	2010							0	0		0	0	0
WY	2011	0			0								
