State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
CO	1985	2	0	2	0	1	2	8	7	3	2	1	5
CO	1986	0	5	1	3	2	2	2	10	4	3	1	2
CO	1987	2	0	0	2	1	0	3	0	4	1	28	4
CO	1988	6	5	0	0	0	2	2	6	2	5	0	0
CO	1989	7	1	2	2	10	1	4	5	1	1	3	2
CO	1990	1	0	2	0	8	2	2	0	5	4	0	1
CO	1991	0	3	3	2	2	2	4	4	2	2	0	6
CO	1992	1	2	2	4	1	9	4	1	1	2	0	0
CO	1993	0	1	2	2	5	4	7	8	0	3	3	1
CO	1994	3	0	4	5	1	3	7	0	3	1	0	2
CO	1995		3	2	0	3	0	3	2	3	0	6	0
CO	1996	1	1	3	3	0	5	1	3	5	0	0	0
CO	1997	3	0	3	1	0	3	1	1	0	2	0	4
CO	1998	0	0	0	1	1	2	8	8	0	0	0	4
CO	1999	0	3	3	0	0	5	2	5	1	1	0	0
CO	2000	0	1	1	1	2	0	3	1	1	0	2	0
CO	2001	0	1	1	0	5	0	0	3	1	0	1	0
CO	2002	4	0	3	0		1	2	7	0	2	2	0
CO	2003	14	0	6	2	4	1	3	3	0	0	1	2
CO	2004	0	0	0	1	6	1	1	1	0	0	0	0
CO	2005	2	1	0	0	2	1	5	2	1	0	0	0
CO	2006	0	1	0	0	1	1	0	1	0	2	0	2
CO	2007	0	0	0	0	1	1	2	4	1	1	1	0
CO	2008	0	1	1	7	1	0	2	2	3	0	2	41
CO	2009	1	1	2	0	4	2	1	3	0	2	1	
CO	2010	1	0		2	1	6	2	0	3	2	0	0
CO	2011	1		3	0								
CT	1982	0	3	0	0	0	0	0	0	1	0	0	
CT	1983	0	1	0	0	5	0	0	3	0	0	0	0
CT	1984	0	0	0	0	0	0	0	0	1	1	0	0
CT	1985		0	0	0	0	0	1	2	0		0	0
CT	1986	0	0	0	0	0	0	0	1	0	1		0
CT	1987	0	0	0	0	0	0	0	0	1	0	0	
CT	1988	0	0		2	0		3	0	1	3	6	0
CT	1989	2				0	0	0	0	0	0	0	0
CT	1990	0	0		0	0	1	0	0		1	0	4
CT	1991			0	0	0	0	0		0	2	0	0
CT	1992					0	2	1	6	0	1	0	0
CT	1993		0	1		0	3	0	0		0	0	0
CT	1994			0	0	0	0	1					
CT	1995				0		1	0		0	0	1	0
CT	1996		0		0	2	2	4		0			1
CT	1997	0						0	0	1		0	2
