GameID	Precipitation	SnowFall	SnowDepth	MaxTemperature	MinTemperature	FogFlag	ThunderFlag	HailFlag	DustFlag	HighWindFlag	RainFlag	SnowFlag	UnknownPrecipFlag
92	0	0	0	44	30	0	0	0	0	0	0	0	0
93	0	0	0	42	37	0	0	0	0	0	0	0	0
94	0	0	-999	39	57	0	0	0	0	0	0	0	0
95	-999	-999		35	53	0	0	0	0	0	0	0	0
96	1	0	0	42	35	1	0	0	1	0	0	0	0
97	0	0		32	42	0	0	0	0	0	0	0	0
98	1	0	0	46	35	0	0	0	0	0	0	0	0
99	-999	-999		30	44	0	0	0	0	0	0	0	0
100	0	0		48	19	0	0	0	0	0	0	0	0
101	0	-999		15	28	0	0	0	0	0	0	0	0
102	-999			30	42	0	0	0	0	0	0	0	0
103	25	0		89	71	0	0	0	0	0	0	0	0
104	0	0	0	62	39	0	0	0	0	0	0	0	0
105	14	0	0	59	69	0	0	0	0	0	0	0	0
106	0	0	0	51	39	0	0	0	1	0	1	0	0
107	1	0		46	41	0	0	0	0	0	0	0	0
108	0	0		60	51	0	0	0	0	0	0	0	0
109	0			62	44	0	0	0	0	0	0	0	0
110		0		75	37	0	0	0	0	0	0	0	0
111	0			60	33	0	0	0	0	0	0	0	0
112	0		0	55	33	0	0	0	0	0	0	0	0
113	0			71	39	0	0	0	0	0	0	0	0
114	30	2	2	53	33	0	0	0	0	0	0	0	0
115	0	0		39	24	0	0	0	0	0	0	0	0
116	3	0		53	41	0	0	0	0	0	0	0	0
117	0	0		44	37	0	0	0	0	0	0	0	0
118	8			60	37	0	0	0	0	0	0	0	0
119	1	0	0	55	42	0	0	0	1	0	1	0	0
120	0	0		59	37	0	0	0	0	0	0	0	0
121	0	0		62	53	0	0	0	0	0	0	0	0
122	1	1	0	44	19	0	0	0	0	0	0	0	0
123	0	0		33	46	0	0	0	0	0	0	0	0
124	0	0	0	35	28	0	0	0	0	0	0	0	0
125	0	0		35	53	0	0	0	0	0	0	0	0
126	0	0		55	24	0	0	0	0	0	0	0	0
127	8			77	55	0	0	0	0	0	0	0	0
128	0	0	0	89	60	0	0	0	1	0	0	0	0
129	0	0		60	37	0	0	0	0	0	0	0	0
130				87	51	0	0	0	0	0	0	0	0
131	0			84	46	0	0	0	0	0	0	0	0
132	0			84	44	0	0	0	0	0	0	0	0
133	0	0	0	59	30	0	0	0	0	0	0	0	0
134	0	0		53	35	0	0	0	0	0	0	0	0
135	0			57	39	0	0	0	0	0	0	0	0
136	22			62	39	0	0	0	0	0	0	0	0
137	0			53	39	0	0	0	0	0	0	0	0
138	0			55	30	0	0	0	0	0	0	0	0
139	0			51	42	0	0	0	0	0	0	0	0
140	0			73	44	0	0	0	0	0	0	0	0
141	4	0	0	62	51	0	0	0	0	0	0	0	0
142	11	0		51	39	0	0	0	0	0	0	0	0
143	0	0	0	64	42	0	0	0	0	0	0	0	0
144	0	0		62	33	0	0	0	0	0	0	0	0
145	0	0	0	50	28	0	0	0	0	0	0	0	0
146	15	0		48	24	0	0	0	0	0	0	0	0
147	5			53	42	0	0	0	0	0	0	0	0
148	0	0	0	73	46	0	0	0	0	0	0	0	0
149	5			53	33	0	0	0	0	0	0	0	0
150	0	0		55	48	0	0	0	0	0	0	0	0
151	0			46	26	0	0	0	0	0	0	0	0
152	0	0	0	42	21	0	0	0	0	0	0	0	0
153	0	0		35	32	0	0	0	0	0	0	0	0
154	0	0		53	37	0	0	0	0	0	0	0	0
155	0	0		46	57	0	0	0	0	0	0	0	0
156	0	0	0	53	39	0	0	0	0	0	0	0	0
157	0			71	48	0	0	0	0	0	0	0	0
158	0	0	0	53	62	0	0	0	0	0	0	0	0
159	0	0	0	64	46	0	0	0	1	0	0	0	0
160	0	0		84	62	0	0	0	0	0	0	0	0
161	0			84	55	0	0	0	0	0	0	0	0
162				77	53	0	0	0	0	0	0	0	0
163	0	0		69	59	0	0	0	0	0	0	0	0
164	8			71	62	0	0	0	0	0	0	0	0
165	1			69	57	0	0	0	0	0	0	0	0
166	1	0		69	60	0	0	0	0	0	0	0	0
167	9			64	51	0	0	0	0	0	0	0	0
168	0	0	0	55	77	0	0	0	0	0	0	0	0
169	0			77	42	0	0	0	0	0	0	0	0
170	0	0	0	57	37	0	0	0	1	0	0	0	0
171	0	0		57	37	0	0	0	0	0	0	0	0
172	0			59	39	0	0	0	0	0	0	0	0
173	0	0		37	30	0	0	0	0	0	0	0	0
174	0	0		48	33	0	0	0	0	0	0	0	0
175	0	0	0	69	48	0	0	0	1	0	1	0	0
176	0			44	33	0	0	0	0	0	0	0	0
177	0	0	0	64	50	1	0	0	1	0	0	0	0
178	-999	0	0	44	50	0	0	0	0	0	0	0	0
179	10	0		55	39	0	0	0	0	0	0	0	0
180	1	1	7	30	14	0	0	0	0	0	0	0	0
181	0	0	0	35	24	1	0	0	1	0	0	0	0
182	0	0		39	21	0	0	0	0	0	0	0	0
183	0	0		28	35	0	0	0	0	0	0	0	0
184	8	0	5	46	30	0	0	0	0	0	0	0	0
185	26	0	0	51	41	0	0	0	0	0	0	0	0
186	1	0		44	28	0	0	0	0	0	0	0	0
187	0	0		32	30	0	0	0	0	0	0	0	0
188	0	0		39	17	0	0	0	0	0	0	0	0
189	0	0	0	68	44	0	0	0	1	0	0	0	0
190	0	0	0	71	55	0	0	0	1	0	0	0	0
191	0	0	0	64	48	0	0	0	1	0	0	0	0
192	0	0	0	71	41	0	0	0	0	0	0	0	0
193	0	0	0	60	32	1	0	0	0	0	0	0	0
194	0	0	0	75	55	0	0	0	1	0	0	0	0
195	0	0	0	62	41	1	0	0	1	0	1	0	0
196	0	0	0	59	42	0	0	0	0	0	0	0	0
197	2	0	0	55	35	0	0	0	0	0	0	0	0
198	0	0	0	71	53	0	0	0	0	0	0	0	0
199	0	0	0	78	46	0	0	0	0	0	0	0	0
200	0	0	0	39	21	0	0	0	0	0	0	0	0
201	7	0	0	55	46	0	0	0	0	0	0	0	0
202	0	0	0	59	24	1	0	0	0	0	0	0	0
203	0	0	0	62	48	1	0	0	1	0	1	0	0
204	0	0	0	64	37	0	0	0	0	0	0	0	0
205	0	0	0	78	50	0	0	0	0	0	0	0	0
206	0	0	0	53	44	0	0	0	0	0	0	0	0
207	0	0	0	44	39	0	0	0	1	0	1	0	0
208	0	0	0	41	35	0	0	0	0	0	0	0	0
209		0	0	48	35	0	0	0	0	0	0	0	0
210	0	0	0	75	42	0	0	0	0	0	0	0	0
211	13	0	0	46	37	0	0	0	0	0	0	0	0
212	0	0	0	50	35	0	0	0	1	0	0	0	0
213	0	0	0	60	28	0	0	0	0	0	0	0	0
